,title,release_date,genre_ids,vote_average,vote_count,popularity,id
161,The Stanford Prison Experiment,2015-07-17,[53],6.87,893,14.527,308032
162,The Gallows,2015-07-10,"[27, 53]",4.956,892,12.864,299245
163,The 33,2015-11-09,"[18, 36]",6.4,885,20.031,293646
164,I Spit on Your Grave III: Vengeance Is Mine,2015-10-09,"[27, 53]",5.738,883,30.199,357096
165,Z for Zachariah,2015-08-28,"[18, 10749, 878]",5.662,882,9.365,193687
166,Pawn Sacrifice,2015-09-18,"[53, 18]",6.769,880,13.394,245698
167,Justice League: Throne of Atlantis,2015-01-13,"[878, 28, 16, 12]",7.003,874,45.404,297556
168,Heist,2015-11-13,"[28, 80, 53]",6.101,872,16.958,336004
169,Batman vs. Robin,2015-04-03,"[878, 28, 12, 16]",7.167,860,14.085,321528
170,Sleeping with Other People,2015-09-11,"[35, 10749]",6.31,855,17.369,288036
171,Hot Tub Time Machine 2,2015-02-20,[35],5.215,855,14.248,243938
172,Cop Car,2015-01-24,"[53, 80]",5.928,801,16.149,310133
173,Jane Got a Gun,2016-01-29,"[37, 28, 18]",5.8,779,14.922,174751
174,Riley's First Date?,2015-11-03,"[16, 10751]",7.145,769,28.377,355338
175,"McFarland, USA",2015-02-20,"[18, 10751]",7.456,767,27.102,228203
176,Going Clear: Scientology and the Prison of Belief,2015-01-25,[99],7.618,762,9.188,318224
177,Unfinished Business,2015-03-06,[35],5.452,762,10.226,239573
178,Max,2015-06-26,"[12, 18, 10751]",7.162,757,14.165,272878
179,Love the Coopers,2015-11-13,"[18, 35, 10751]",5.993,748,19.744,333348
180,The Human Centipede 3 (Final Sequence),2015-05-22,"[27, 35]",3.758,725,21.355,94365
181,Pay the Ghost,2015-09-25,[27],5.368,718,15.595,290637
182,The Vatican Tapes,2015-07-24,"[53, 27]",5.293,717,20.5,157544
183,A Bigger Splash,2015-12-20,"[18, 53, 10749]",6.2,708,14.471,324807
184,99 Homes,2015-09-25,[18],6.769,704,11.748,283235
185,6 Years,2015-03-14,"[10749, 18]",5.436,700,9.716,323674
186,The Diary of a Teenage Girl,2015-08-28,"[18, 10749]",6.596,685,15.076,250124
187,Ricki and the Flash,2015-08-07,"[35, 18, 10402]",5.788,682,12.522,275601
188,The Second Best Exotic Marigold Hotel,2015-03-06,"[18, 35]",6.4,678,14.404,268238
189,Cobain: Montage of Heck,2015-04-24,"[99, 10402]",7.712,669,15.427,319075
190,Turbo Kid,2015-08-28,"[28, 12, 35, 878]",6.562,663,12.248,310135
191,A Walk in the Woods,2015-09-02,"[12, 35, 18]",6.066,658,16.498,232572
192,Miss You Already,2015-11-06,"[35, 18]",7.4,644,8.098,290762
193,Final Girl,2015-08-14,"[28, 18, 53]",5.185,636,8.61,277558
194,Love & Mercy,2015-06-05,"[18, 10402, 36]",7.108,629,17.712,271714
195,Freeheld,2015-10-02,"[10749, 18]",7.273,624,12.206,306745
196,Extinction,2015-08-07,"[27, 878]",6.191,618,21.092,338676
197,Tangerine,2015-07-10,"[35, 18]",6.9,615,10.45,308084
198,Knight of Cups,2016-03-04,"[10749, 18, 14]",5.6,604,12.529,86835
199,Kidnapping Mr. Heineken,2015-03-26,"[18, 28, 80, 53, 9648]",6.0,602,10.772,228968
200,Southbound,2016-02-05,"[14, 53, 27, 878]",5.921,581,13.793,354251
201,Hot Girls Wanted,2015-05-29,[99],6.009,574,25.396,318256
202,Return,2015-11-28,[27],6.446,570,7.709,379862
203,Lost River,2015-04-10,"[14, 53, 18, 27]",5.8,567,15.826,167810
204,By the Sea,2015-11-13,"[18, 10749]",5.57,564,10.193,314385
